,participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
403,5755164371714048,31,m,False,False,0.0,Less than once or twice a year,18.0,More than once or twice a week,30.0,More than once or twice a week
404,6457480376745984,31,m,False,False,16.0,More than once or twice a week,20.0,More than once or twice a week,4.0,More than once or twice a week
405,6006677119696896,32,m,False,False,0.0,Once or twice a month,0.0,Never,32.0,More than once or twice a week
406,4681224710782976,33,m,False,False,1.0,Less than once or twice a year,1.0,Less than once or twice a year,1.0,More than once or twice a week
407,5082529006616576,33,f,False,False,1.0,Never,1.0,Once or twice a week,20.0,Once or twice a month
408,5170220964511744,33,f,False,False,1.0,Less than once or twice a year,5.0,Once or twice a year,2.0,Once or twice a week
409,5194384987389952,33,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
410,5263790585151488,33,m,False,False,2.0,More than once or twice a week,24.0,More than once or twice a week,0.0,Less than once or twice a year
411,5394980629643264,33,m,False,False,0.0,Never,0.0,Never,0.0,Never
412,5633779737559040,33,m,False,False,5.0,Once or twice a month,10.0,Once or twice a month,0.0,Less than once or twice a year
413,6230118498304000,33,m,False,False,74.0,Less than once or twice a year,74.0,Less than once or twice a year,0.0,Never
414,6278300783607808,33,m,False,False,52.0,Once or twice a week,2.0,Once or twice a month,1.0,Once or twice a month
415,5276099021897728,34,m,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
416,5709941587312640,34,f,False,False,0.0,Less than once or twice a year,0.0,Never,0.0,Less than once or twice a year
417,4750262820405248,35,m,False,False,37.0,Once or twice a month,73.0,Once or twice a month,25.0,Once or twice a week
418,4801967247327232,35,f,False,False,2.0,Less than once or twice a year,52.0,More than once or twice a week,39.0,Once or twice a week
419,5444376511643648,35,f,False,False,34.0,Once or twice a month,0.0,Never,0.0,Never
420,5734055144325120,35,f,False,False,25.0,Less than once or twice a year,24.0,Never,0.0,Never
421,4523750271746048,36,m,False,False,77.0,Once or twice a month,74.0,Once or twice a month,0.0,Less than once or twice a year
422,5153329663442944,36,m,False,False,0.0,Never,0.0,Never,0.0,Never
423,5160201342681088,36,m,False,False,0.0,Never,0.0,Never,0.0,Never
424,5169145746292736,36,f,False,False,10.0,Once or twice a year,15.0,Once or twice a year,30.0,More than once or twice a week
425,6330444639371264,36,f,False,False,10.0,Less than once or twice a year,30.0,More than once or twice a week,30.0,More than once or twice a week
426,5122975518949376,37,f,False,False,3.0,Once or twice a month,3.0,Once or twice a month,3.0,More than once or twice a week
427,5180364200869888,37,f,False,False,12.0,Less than once or twice a year,0.0,Less than once or twice a year,12.0,Less than once or twice a year
428,5935270604046336,37,f,False,False,0.0,Once or twice a year,0.0,Never,0.0,More than once or twice a week
429,4734725239341056,38,m,False,False,20.0,Less than once or twice a year,30.0,More than once or twice a week,0.0,Once or twice a month
430,4864148710096896,38,f,False,False,0.0,Never,0.0,Never,0.0,Never
431,5637337312657408,38,m,False,False,26.0,Less than once or twice a year,17.0,Once or twice a month,44.0,Once or twice a month
432,6196444344090624,38,m,False,False,0.0,Never,0.0,Less than once or twice a year,0.0,Never
433,4883525186617344,39,m,False,False,17.0,Less than once or twice a year,12.0,Once or twice a year,12.0,Once or twice a year
434,5193085759782912,39,f,False,False,0.0,Never,0.0,Never,0.0,Never
435,5673385510043648,39,m,False,False,0.0,Never,0.0,Never,107.0,Once or twice a week
436,6231986540642304,39,f,False,False,0.0,Never,0.0,Never,0.0,Never
437,6266367753846784,39,m,False,False,0.0,Never,0.0,Never,38.0,Once or twice a year
438,6551443523764224,39,m,False,False,0.0,Never,0.0,Never,0.0,Never
439,5643701380448256,40,m,False,False,1.0,Once or twice a year,1.0,Less than once or twice a year,1.0,Less than once or twice a year
440,5679720049934336,40,f,False,False,0.0,Never,0.0,Never,35.0,Once or twice a week
441,5760744339537920,40,f,False,False,0.0,Never,0.0,Never,0.0,Never
442,5963713488093184,40,m,False,False,44.0,More than once or twice a week,26.0,More than once or twice a week,26.0,More than once or twice a week
443,5158086071287808,41,f,False,False,43.0,Once or twice a year,53.0,Once or twice a year,49.0,Once or twice a year
444,5630978613575680,41,m,False,False,1.0,Less than once or twice a year,12.0,Once or twice a year,20.0,Once or twice a month
445,6331446440493056,41,m,False,False,0.0,Never,0.0,Never,40.0,Once or twice a week
446,5642398931615744,43,m,False,False,0.0,Never,0.0,Never,0.0,Never
447,5648633076645888,43,m,False,False,10.0,Once or twice a week,24.0,Once or twice a month,0.0,Never
448,5715999101812736,43,f,False,False,0.0,Never,0.0,Never,0.0,Never
449,5842748150120448,43,m,False,False,3.0,Once or twice a year,12.0,Once or twice a week,12.0,Once or twice a week
450,5884755077758976,44,m,False,False,10.0,Once or twice a year,0.0,Never,0.0,Never
451,5457763253616640,45,f,False,False,0.0,Never,0.0,Never,0.0,Never
452,5466387950600192,45,m,False,False,0.0,Never,0.0,Never,0.0,Never
453,4846995684458496,46,m,False,False,0.0,Never,8.0,Less than once or twice a year,0.0,Never
454,5100334867283968,47,m,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
455,5764748591235072,47,f,False,False,0.0,Never,0.0,Never,0.0,Never
456,5086441721823232,48,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a month
457,6225147878965248,48,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
458,5182111044599808,49,m,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
459,6207522675359744,49,m,False,False,1.0,Less than once or twice a year,35.0,Once or twice a year,0.0,Never
460,5734183724908544,51,f,False,False,0.0,Never,5.0,Never,0.0,Never
461,5697124062724096,52,m,True,False,0.0,Never,0.0,Never,0.0,Never
462,6229594243858432,52,f,False,False,0.0,Never,0.0,Never,0.0,Never
463,5195970098757632,54,f,False,False,142.0,More than once or twice a week,20.0,More than once or twice a week,20.0,More than once or twice a week
464,5700239927279616,61,f,False,False,5.0,Once or twice a year,4.0,Once or twice a month,2.0,Once or twice a month
465,4758855170916352,62,f,False,False,0.0,Never,0.0,Never,0.0,Never
466,6389690491994112,62,m,False,False,0.0,Never,10.0,Once or twice a month,0.0,Never
